Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
22344,85875,0,1,37,0,0,1267,5,0,0,5,4,0,4,4,3,5,5,3,4,4,0,0.0,satisfied
17886,46242,0,0,73,0,0,1648,4,3,3,3,2,2,2,4,4,4,4,4,4,1,1,0.0,neutral or dissatisfied
10852,34924,1,0,39,0,0,395,2,1,1,1,3,3,3,2,2,2,2,1,2,4,0,4.0,neutral or dissatisfied
6943,79728,1,0,44,1,1,760,3,1,3,3,2,3,2,2,2,4,3,1,3,2,0,0.0,neutral or dissatisfied
14933,97451,0,0,65,1,0,670,4,5,4,3,2,3,5,4,4,4,4,2,4,1,0,0.0,satisfied
17653,47503,1,0,47,1,1,590,3,1,2,3,1,2,1,1,3,1,3,2,4,1,0,0.0,neutral or dissatisfied
21863,72800,0,0,14,1,1,1045,3,1,3,3,5,3,5,5,3,3,3,4,3,5,5,0.0,neutral or dissatisfied
11053,111764,1,0,42,0,0,1436,5,5,5,5,3,5,4,4,4,4,4,4,4,3,8,0.0,satisfied
18051,79891,0,0,56,0,1,1080,2,4,4,4,1,4,3,3,3,2,3,3,3,4,6,0.0,neutral or dissatisfied
2332,117186,1,0,23,1,1,370,2,1,1,1,5,1,5,5,1,2,1,1,1,5,7,0.0,neutral or dissatisfied
17910,67944,1,0,10,1,1,1235,3,5,3,2,1,3,1,1,5,2,4,5,4,1,2,0.0,neutral or dissatisfied
25865,125619,1,0,51,1,0,814,3,0,3,2,2,5,4,1,1,3,1,4,1,5,0,0.0,neutral or dissatisfied
25649,4564,0,0,57,1,1,561,1,2,1,3,4,3,3,4,4,1,1,1,4,3,0,0.0,neutral or dissatisfied
22755,15020,0,0,16,1,1,557,1,5,1,1,2,1,2,2,4,2,2,3,5,2,6,9.0,neutral or dissatisfied
25435,36309,0,0,55,0,1,187,4,4,5,5,5,3,4,4,4,4,4,4,4,2,0,0.0,satisfied
4487,67725,0,0,25,0,0,2273,2,3,3,3,2,2,2,2,4,1,4,4,3,2,34,37.0,neutral or dissatisfied
17660,72859,1,0,29,0,0,700,2,4,4,4,2,2,2,2,2,4,3,1,3,2,3,8.0,neutral or dissatisfied
22882,15079,0,0,51,0,1,322,4,5,5,5,1,5,5,4,4,4,4,4,4,3,0,1.0,satisfied
3761,32498,0,0,44,0,0,3211,1,1,1,1,4,3,2,4,4,4,1,1,4,2,0,0.0,neutral or dissatisfied
23939,92532,1,0,64,1,1,1947,1,4,1,5,2,1,2,2,4,2,5,3,5,2,8,0.0,neutral or dissatisfied
4903,101337,0,0,46,1,1,1771,4,4,4,3,3,4,4,3,3,4,3,2,3,3,2,9.0,neutral or dissatisfied
13667,27294,1,0,27,0,0,1050,2,5,2,5,2,2,2,2,1,3,3,4,4,2,0,3.0,neutral or dissatisfied
24463,45322,1,0,17,0,1,188,5,5,3,5,5,5,5,5,3,5,2,4,5,5,0,0.0,satisfied
22828,121901,1,0,7,1,1,366,1,5,5,3,5,5,5,5,4,3,4,3,4,5,0,3.0,neutral or dissatisfied
25257,68132,0,0,63,1,1,813,0,3,0,3,4,2,3,1,1,0,1,3,1,2,0,0.0,satisfied
4434,127548,0,0,65,1,1,1009,2,5,2,2,4,4,4,3,3,2,3,4,3,4,0,14.0,neutral or dissatisfied
22734,100450,1,0,37,0,2,1180,1,2,2,2,1,1,1,1,4,5,2,4,2,1,11,4.0,neutral or dissatisfied
4598,96708,1,0,19,0,0,2971,2,2,2,2,4,4,4,4,4,4,5,3,4,4,0,0.0,satisfied
18676,25339,1,0,48,1,1,837,5,4,5,1,3,5,3,3,4,2,5,5,5,3,0,0.0,satisfied
19756,96809,0,1,45,0,1,849,3,4,4,3,1,4,1,1,4,3,4,2,4,1,7,3.0,neutral or dissatisfied
2741,129876,1,0,28,1,2,447,4,4,4,2,4,4,1,4,5,4,4,4,5,4,2,3.0,neutral or dissatisfied
